Open Values
2017-07-20 - 74.3000
2017-07-21 - 74.2900
2017-07-24 - 73.7500
2017-07-25 - 74.3100
2017-07-26 - 74.3800
2017-07-27 - 74.4200
2017-07-28 - 73.3100
2017-07-31 - 73.4400
2017-08-01 - 73.4200
2017-08-02 - 72.5600
2017-08-03 - 72.4400
2017-08-04 - 73.0400
2017-08-07 - 72.9000
2017-08-08 - 73.1300
2017-08-09 - 72.5100
2017-08-10 - 72.1900
2017-08-11 - 72.7000
2017-08-14 - 73.7200
2017-08-15 - 73.5900
2017-08-16 - 74.1000
2017-08-17 - 73.8700
2017-08-18 - 72.8400
2017-08-21 - 72.4800
2017-08-22 - 73.2400
2017-08-23 - 73.1500
2017-08-24 - 72.8600
2017-08-25 - 73.3500
2017-08-28 - 73.0900
2017-08-29 - 73.1600
2017-08-30 - 74.2100
2017-08-31 - 74.9600
2017-09-01 - 74.7400
2017-09-05 - 73.8900
2017-09-06 - 74.0400
2017-09-07 - 74.6000
2017-09-08 - 74.4400
2017-09-11 - 74.9400
2017-09-12 - 75.2400
2017-09-13 - 75.2300
2017-09-14 - 75.4900
2017-09-15 - 75.3900
2017-09-18 - 75.9700
2017-09-19 - 75.7100
2017-09-20 - 75.5500
2017-09-21 - 75.2400
2017-09-22 - 74.5100
2017-09-25 - 74.2500
2017-09-26 - 73.8100
2017-09-27 - 74.1700
2017-09-28 - 73.9700
2017-09-29 - 74.5400
2017-10-02 - 75.0100
2017-10-03 - 74.8800
2017-10-04 - 74.7200
2017-10-05 - 76.1200
2017-10-06 - 76.0300
2017-10-09 - 76.5500
2017-10-10 - 76.6300
2017-10-11 - 76.4600
2017-10-12 - 77.2900
2017-10-13 - 77.8700
2017-10-16 - 77.8100
2017-10-17 - 77.6200
2017-10-18 - 77.8500
2017-10-19 - 77.9300
2017-10-20 - 78.9700
2017-10-23 - 79.3400
2017-10-24 - 79.2000
2017-10-25 - 79.1000
2017-10-26 - 79.4200
2017-10-27 - 86.2000
2017-10-30 - 84.3300
2017-10-31 - 84.3600
2017-11-01 - 83.7600
2017-11-02 - 84.4600
2017-11-03 - 84.5400
2017-11-06 - 84.7000
2017-11-07 - 84.9000
2017-11-08 - 84.6100
2017-11-09 - 84.2700
2017-11-10 - 84.1000
2017-11-13 - 83.9400
2017-11-14 - 84.1000
2017-11-15 - 83.6900
2017-11-16 - 83.4200
2017-11-17 - 83.1200
2017-11-20 - 82.5900
2017-11-21 - 83.8400
2017-11-22 - 83.9000
2017-11-24 - 83.4300
2017-11-27 - 83.9800
Low Values
2017-07-07 - 68.7000
2017-07-10 - 69.2000
2017-07-11 - 69.7500
2017-07-12 - 70.5500
2017-07-13 - 71.3100
2017-07-14 - 71.9600
2017-07-17 - 72.7200
2017-07-18 - 72.6600
2017-07-19 - 73.4500
2017-07-20 - 73.2800
2017-07-21 - 73.1700
2017-07-24 - 73.1300
2017-07-25 - 73.5000
2017-07-26 - 73.8100
2017-07-27 - 72.3200
2017-07-28 - 72.5400
2017-07-31 - 72.4100
2017-08-01 - 72.4900
2017-08-02 - 71.4400
2017-08-03 - 71.8500
2017-08-04 - 72.2400
2017-08-07 - 72.2600
2017-08-08 - 71.7500
2017-08-09 - 72.0500
2017-08-10 - 71.3500
2017-08-11 - 71.2800
2017-08-14 - 72.9500
2017-08-15 - 73.0400
2017-08-16 - 73.1700
2017-08-17 - 72.4000
2017-08-18 - 71.9300
2017-08-21 - 71.7000
2017-08-22 - 72.3500
2017-08-23 - 72.5300
2017-08-24 - 72.0700
2017-08-25 - 72.4800
2017-08-28 - 72.5500
2017-08-29 - 72.0500
2017-08-30 - 72.8300
